id_producto,linea,nombre,principios_activos,indicaciones,posologia,presentaciones,estado
prod_001,Productos mh,Abies D4 MH,Abies nigra D6; Anacardium D8; Argentum nitricum D6; Bismuthum D8; Chelidonium D6; Kalium bichromicum D8; Lycopodium D4; Mezereum D6; Nux vómica D6,Gastritis; úlceras gástricas; acidez; úlcera del duodeno; flatulencia; estreñimiento,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_002,Productos mh,Acid. picricum D4 MH,Coenzime Q-10; Acidum citricum D8; Acidum picricum D8; Hepar sulfuris D10; Vitamina B1 D6; Magnesium D6; Pulsatilla D6; Sulphur D10; Vitamina B2 D6,Estimulación de sistemas enzimáticos bloqueados en casos de enfermedades degenerativas; disfunciones enzimáticas (fases celulares)^Distonía neurovegetativa; síndrome de cansancio crónico; coadyuvante en el tratamiento de la diabetes; hipertensión arterial; arterioesclerosis; artritis reumatoidea y en todas las enfermedades de carácter crónico ó degenerativo^Actúa como regenerador celular,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_003,Productos mh,Aconitum D4 MH,Aconitum D4; Baptisia D4; Belladona D4; Bryonia D4; Camphora D3; Eucalypthus D3; Euphatorium perfoliatum D3; Ferrum phos. D8; Gelsemiun D6; Phosphorus D6,Fiebre; resequedad de las mucosas; gripe; resfriados,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_004,Productos mh,Aesculus D4 MH,Aesculus hipoc. D3; Collinsonia can. D4; Hamamelis D3; Lycopodium D6; Nitricum acid. D6; Nux vómica D4; Paeonia off. D3; Ratanhia D6,Hemorroides; eccema anal; fisuras anales; prurito anal; prolapso rectal; estasis venosa,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_005,Productos mh,Aesculus D4 MH gel y supositorios,Aesculus D2; Hamamelis D3; Caléndula D3; Aloe D3; Árnica D3; Chamomilla D3; Ginkgo biloba D3; Centella asiática D3; Paeonia D3,Venotónico; control de dolor e insuficiencia venosa; relaja y refresca las piernas cansadas; antiinflamatorio; antiséptico en eccemas; calmante en dolor osteoarticular; hemorroides; úlcera varicosa,,Tubo colapsible por 120 g; Caja x 6 Ovulos,activo
prod_006,Productos mh,Agnus D4 MH,Agnus castus D6; Cerebrum D4; Damiana D3; Panax ginseng D3; Agnus D12,Coadyuvante en tratamiento de impotencia; ayuda a regular el las hormonas; trastornos del desarrollo; adiposis hipo física o adelgazamiento respectivamente,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_007,Productos mh,Allium cepa D4 MH,Aconitum D6-D12-D30; Allium cepa D6-D12-D30; Bryonia D6-D12-D30,Gripe; otitis; sinusitis; rinitis; faringitis; fiebre,2 o 3 gotas en cada oído dos veces al día,Gotas óticas por 15 ml,activo
prod_008,Productos mh,Aloe fibra - fibaloe,Extracto Aloe vera; Extracto de Manzana verde; Extracto de Garcina Mangostana; Bacilos probióticos,Úlceras gástricas y/o pépticas; colon irritable; problemas gastrointestinales irritativos; halitosis; estreñimiento; acidez; pesadez estomacal; flatulencias o meteorismo,,Frasco por 360 ml,activo
prod_009,Productos mh,Alumina D4 MH,Abies D6; Alumina D8-D12; Argentum nitricum D6; Bismuthum D8; Carbo vegetabilis D12; Chininum D3; Colocynthis D12; Condurango D3; Lycopodium D6; Magnesium mur D8; Melissa D3; Nux vómica D6-D12; Plumbum D12; Rheum D3; Robina D6-D12; Taraxacum D3; Veratrum D8-D12,Patologías digestivas; atonía digestiva; úlceras digestivas; estreñimiento; diarreas; acidez gástrica; cólicos; vómitos de causa digestiva; inflamación abdominal; entre otras,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_010,Productos mh,Angélica D4 MH,Actea racemosa D6; Angélica D4-D6-D12; Arsenicum iodatum D12-D30; Glonoinum D6-D30; Lachesis D12; Lilium tigrinum D4-D6; Pulsatilla D6; Smilax D4-D6; Viburnum opulus D4-D6,Menopausia; Sofocos; Sudoraciones; Climaterio; Patologías femeninas,,Gotas x 30 ml; Tabletas x 90; Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables,activo
prod_011,Productos mh,Apis D4 MH,Apis D4-D6; Árnica D6-D12-D30; Asafoetida D4-D6; Belladona D4-D6; Bryonia D6-D12; Cannabis D3; Cápsicum D6; Cedrón D4-D6-D12; Hypericum Perforatum D6; Kalium bich D6; Kali carbonicum D8; Kalium mur D6; Magnesia phosphorica D6.,Analgésico; Repolizador celular.,,Gotas x 30 ml; Tabletas x 90 (En stock permanente) Bajo pedido: Glóbulos; Elixir; Spray oral; Spray nasal; Viales bebibles; Viales nebulizables.,activo
